59,412268,NIT-B MECH|NIT-W CIVIL|,NIT-B,MECH
60,532859,NIT-Y AI|NIT-X EEE|NIT-B AI|NIT-W CSE|NIT-A MECH|,,
61,803412,,,
62,453432,NIT-B IT|,,
63,528487,NIT-W MECH|NIT-A AI|NIT-Y ECE|NIT-W ECE|NIT-B MECH|,,
64,162578,NIT-A IT|NIT-X MECH|,,
65,801527,NIT-B CIVIL|NIT-W AI|NIT-W EEE|,,
66,444480,NIT-W AI|NIT-B CIVIL|NIT-W AI|NIT-B CIVIL|NIT-W AI|NIT-B CIVIL|,,
67,531484,NIT-X AI|NIT-A EEE|NIT-B CSE|NIT-W IT|NIT-Y CSE|,,
68,927604,NIT-Y EEE|NIT-B MECH|NIT-X MECH|NIT-W EEE|NIT-B AI|NIT-B IT|,,
69,462996,NIT-B ECE|NIT-A CSE|NIT-B ECE|NIT-A CSE|NIT-B ECE|NIT-A CSE|,,
70,817807,NIT-X MECH|NIT-X MECH|NIT-X MECH|,,
71,389010,NIT-B AI|NIT-W EEE|NIT-Y MECH|NIT-A CSE|NIT-B ECE|,,
72,116144,NIT-W AI|NIT-Y EEE|NIT-W AI|NIT-Y EEE|NIT-W AI|NIT-Y EEE|,,
73,521134,NIT-W EEE|NIT-W ECE|NIT-W EEE|NIT-W ECE|NIT-W EEE|NIT-W ECE|,,
74,737209,NIT-A CSE|NIT-B AI|NIT-A CSE|NIT-B AI|NIT-A CSE|NIT-B AI|,,
75,570057,,,
76,301561,,,
77,927221,NIT-A IT|NIT-A CSE|NIT-W AI|NIT-B IT|NIT-W ECE|NIT-A CIVIL|,,
78,501702,NIT-W IT|NIT-B CIVIL|NIT-X AI|NIT-Y MECH|NIT-B EEE|,,
79,263407,,,
80,850304,NIT-A CSE|NIT-A CIVIL|NIT-B AI|NIT-W AI|,,
81,755551,NIT-A IT|NIT-W AI|NIT-Y EEE|,,
82,744353,NIT-A CSE|NIT-W AI|NIT-X MECH|NIT-W EEE|NIT-Y EEE|,,
83,779398,NIT-B AI|NIT-W AI|NIT-Y EEE|NIT-X MECH|,,
84,757633,NIT-A CSE|NIT-W AI|NIT-Y EEE|,,
85,808868,NIT-W ECE|NIT-W ECE|NIT-W EEE|NIT-W ECE|NIT-W EEE|,,
86,259106,NIT-W AI|NIT-B MECH|NIT-X MECH|NIT-A CIVIL|NIT-Y EEE|NIT-W ECE|NIT-W EEE|NIT-B CIVIL|NIT-A IT|NIT-A CSE|,,
87,149758,NIT-W EEE|NIT-X MECH|NIT-W EEE|NIT-X MECH|NIT-W EEE|NIT-X MECH|,,
88,365637,NIT-A ECE|NIT-W CIVIL|NIT-X IT|,,
89,995308,NIT-B CIVIL|NIT-D MECH|NIT-B CIVIL|NIT-D MECH|NIT-B CIVIL|NIT-D MECH|,,
90,390364,,,
91,726634,,,
92,893314,NIT-A CSE|NIT-A CSE|NIT-A CSE|,,
93,199498,NIT-B MECH|NIT-W AI|NIT-A CSE|NIT-W ECE|NIT-X MECH|NIT-W EEE|NIT-Y EEE|NIT-A IT|NIT-B CIVIL|NIT-A CIVIL|,,
94,468003,,,
95,759185,NIT-A AI|NIT-W EEE|NIT-X ECE|NIT-A AI|NIT-W EEE|NIT-X ECE|NIT-A AI|NIT-W EEE|NIT-X ECE|,NIT-X,ECE
96,781738,NIT-A IT|NIT-A CSE|NIT-W AI|NIT-Y EEE|,,
97,870769,,,
98,442800,NIT-Y EEE|NIT-A AI|,,
99,483919,NIT-B IT|NIT-W EEE|NIT-Y EEE|NIT-A CIVIL|NIT-X MECH|,,
100,305471,NIT-B IT|NIT-Y EEE|NIT-W AI|NIT-B CIVIL|NIT-A CSE|NIT-W ECE|NIT-A IT|NIT-X MECH|NIT-W EEE|NIT-B MECH|,,
